Key,Value
Kizomba,1
Free jazz,10
Celtic rock,1
Children's music,7
Emo,5
Rap rock,5
Funk rock,2
Soundtrack,7
Neoclassicism (music),1
Quiet storm,2
Protest song,2
Musical improvisation,2
French house,1
East Coast hip hop,4
Golden age hip hop,2
Extreme metal,6
Zarzuela,1
Comedy,2
ó,1
Music of Ireland,1
Mainstream jazz,4
Orchestra,4
Frevo,2
Maracatu,1
Vallenato,1
Stained glass,1
Painting,1
Detroit blues,1
Italo disco,4
Italo dance,1
Eurobeat,2
Chiptune,1
Art music,1
Pedagogy,1
A cappella,1
Son (music),5
Conga (music),1
Guaguancó,1
Santería,1
Abakuá,1
Dancehall,13
Corrido,3
Pasillo,1
Music of Venezuela,2
ú,5
Reggae en Español,2
j,10
Digital hardcore,1
Breakcore,2
Hardcore (electronic dance music genre),1
Industrial hip hop,3
Latin America,1
Country blues,2
Piedmont blues,1
Popular music,1
Murga,1
Música_Rioplatense,1
Cowpunk,2
Heartland rock,1
Chicano rock,1
Argentine rock,1
Chill Out,1
Industrial music,10
Noise,2
Russian chanson,1
Lounge music,3
Sound installation,1
Visual music,1
Death-doom,1
Shock rock,3
Afro-Cuban jazz,6
College rock,1
Sola,1
Ballata,1
Pop_commercial,1
Surf music,3
Latin Christian music,1
Música sertaneja,2
New flamenco,2
Cover version,1
Middle of the road (music),1
Video game,1
Short film,1
Technical death metal,1
Latin hip hop,1
Microhouse,2
Minimal techno,3
Synthesizer,1
Outsider music,4
Screamo,1
Neofolk,2
Bubblegum pop,1
Bard (Soviet Union),1
Freak folk,2
ä,1
Music_of_russia,1
Algorave,1
Acid jazz,1
Pagode,2
Russian traditional music,1
Crust punk,3
V,5
Smooth jazz,3
Orchestral jazz,2
Music of Hawaii,1
Standard (music),1
Descarga,1
Palm Desert Scene,1
Candombe,1
Zamba (artform),1
Milonga (music),1
Taquirari,1
Latin_Jazz_music,1
No wave,3
Tradition,1
Sufi rock,3
Traditional heavy metal,1
Music of Mali,2
Music of Africa,3
K,5
Persian symphonic music,1
Anatolian rock,1
Türkü,1
Gangsta rap,4
Hip hop production,2
Experimental pop,1
Huayno,1
Ranchera_Regional,1
Electropunk,2
Baroque music,1
Sung poetry,1
Daina (Lithuania),1
Persian traditional music,2
Classic,4
Jangle pop,1
Contemporary history,1
Chillwave,2
Future garage,1
Continental jazz,1
Jersey club,1
Music of Bollywood,4
Viking metal,2
Dhrupad,1
Dhamar (music),1
Low fidelity,2
Music of Brazil,1
Acid rock,3
Space disco,1
Novelty song,1
Chill-out music,3
Southern soul,1
Death 'n' roll,1
Progressive bluegrass,1
Music of Puerto Rico,1
Chamamé,1
Underground hip hop,6
Jazz-funk,2
Music of Russia,1
Q,5
Rocksteady,1
Dark cabaret,3
Skiffle,1
Microsound,1
Exotica,1
:,1
Charanga (Cuba),1
Music of Lebanon,1
Music of Turkey,2
Rebetiko,3
Music of Pakistan,1
Baltimore club,1
Euro disco,1
Christian electronic dance music,2
Folkloric_music,1
Afro pop music,4
Duet,1
Music of Punjab,3
Lovers rock,1
Western culture,1
Highlife,3
Jùjú music,2
Italian popular music,1
Mashup (music),1
Laïko,4
Zeibekiko,1
Deathgrind,1
Hawaii,1
Folk_Singing,1
World_Fusion_Music,1
Indian classical music,5
Rabindra Sangeet,1
Hindu music,1
Music of Japan,3
Bhangragga,1
Roots reggae,3
Acid techno,1
Drill 'n' bass,1
Breakbeat hardcore,1
Jungle,1
Hip house,2
Minneapolis sound,1
Hiplife,4
Gospel,1
Dance hall,2
Azonto,1
African_traditional,1
Pinoy pop,1
Piano rock,1
Music of Armenia,3
Classics,1
Persian pop music,1
Jaipur_Atrauli_Gharana,1
Crooner,1
Kurdish music,2
Minimal music,3
20th-century classical music,1
Underground music,1
Jewish hip hop,1
UK hard house,1
Latin_tech_house,1
Psychedelic pop,1
Space rock,4
Rock opera,2
Greek New Wave,1
Middle Eastern music,1
Talking blues,1
Speed garage,1
Garage music (US garage),2
Big beat,3
Choro,1
Venezuelan waltz,1
Venezuelan bambuco,1
Latin rock,1
Afro-Cuban,2
Brazilian rock,1
Tropicália,1
Tech trance,1
New York blues,1
Soul jazz,1
Nouvelle Chanson,1
Jumpstyle,1
Cool jazz,1
West Coast jazz,2
Stride (music),1
Fringe-Folk,1
Post-disco,2
Old-school hip hop,1
Delta blues,1
Motivation,1
Progressive folk,1
Russian pop,1
Music of Afghanistan,1
Jewish rock music,1
Christian alternative rock,1
Mewati gharana,1
Roots revival,1
Bass music,2
Bandish,1
Thumri,3
Natya Sangeet,2
Bhavgeet,1
Music of Sri Lanka,1
Psychedelic trance,1
Sufi music,3
Taiwanese pop,1
Electric folk,1
Celtic fusion,1
Worldbeat,2
Sevdalinka,2
Canadian hip hop,1
Electro_hip_hop,1
Mizrahi music,1
Nuevo tango,1
Pop-fusion,1
Payada,1
Trova,1
Rapso,1
Cyberpunk_rap,1
Dark ambient,4
Drone metal,3
Chamber jazz,1
Crossover jazz,1
Punk literature,1
Japanoise,1
Sludge metal,3
Honky-tonk,1
Electronicore,1
Teen pop,1
Power electronics (music),1
Noise pop,1
Christian,2
Messianism,1
Folk jazz,1
Ethno jazz,1
Zouk,1
Funky house,1
Latin,1
Music of Israel,2
Soul_R&B,1
Turkish language,1
Kurdish languages,1
Turkish pop music,2
Arabesque (Turkish music),2
Turkish folk music,1
Grindcore,2
C-pop,1
Leone_Island,1
Team_No_Sleep,1
Acid house,1
Afro,1
Nu-funk,1
Film,1
Post-metal,4
Electronic_Pop,1
Psychedelia,2
Deathrock,1
Queercore,1
Ragtime,1
Tappa,1
Kenyan hip hop,1
Arabic,1
Music of Sudan,2
Folklore,1
Rock music in Iran,1
Hamd,2
Naat,2
South African jazz,1
Makam,1
Ottoman classical music,2
Tex-Mex,1
Rave,1
Kafi,1
Music of Bengal,2
Polka,1
Rapping,1
Islamic music,1
Nasheed,2
Metal,1
Beat music,1
Talking_songs,1
Noise_folk,1
Odd_soul,1
Piano,1
Skate punk,1
Crossover thrash,1
Nerdcore,1
Neoclassical new-age music,1
Hindi,1
Desi hip hop,1
Pahari languages,1
Folktronica,1
Ethnoambient,1
Experimental hip hop,1
Ragga,1
Canción,2
March (music),1
Filin (music),2
Waltz (music),1
Noise (electronics),1
D-beat,1
Dark alternative music,1
Yiddish,1
Klezmer,1
Afrobeat,1
Fuji music,1
African popular music,1
African hip hop,1
Jazz rap,1
Minimalism,1
Mugham,1
Azerbaijani folk music,1
Spanish jazz,1
Pakistani rock,1
Modal jazz,2
Raï,1
Music of Libya,1
National anthem,1
Devotional song,1
Music of Azerbaijan,1
Mambo (music),1
Guaracha,1
British hip hop,2
Vocal trance,1
Singing,1
Tribute act,1
Kirana gharana,1
Patiala gharana,1
Comedy hip hop,1
Anime_Soundtracks,1
Enka,2
